stimulus_presentation_id,stimulus_block,start_time,stop_time,orientation,temporal_frequency,x_position,contrast,coherence,y_position,phase,frame,size,spatial_frequency,color,stimulus_name,Speed,Dir,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
20,0.0,80.113113,80.363321,45.0,4.0,10.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,19,,,0,,False,0,train,1
21,0.0,80.363321,80.613531,90.0,4.0,0.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,20,,,0,,False,0,train,2
22,0.0,80.613531,80.86374,90.0,4.0,-20.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,21,,,0,,False,0,train,2
23,0.0,80.86374,81.113949,45.0,4.0,40.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,3,,,0,,False,1,train,1
24,0.0,81.113949,81.364159,45.0,4.0,40.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,22,,,0,,False,0,train,1
25,0.0,81.364159,81.614367,0.0,4.0,40.0,0.8,null,-10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,23,,,0,,False,0,train,0
26,0.0,81.614367,81.864575,0.0,4.0,-40.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,24,,,0,,False,0,train,0
27,0.0,81.864575,82.114783,90.0,4.0,-30.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,25,,,0,,False,0,train,2
28,0.0,82.114783,82.364991,0.0,4.0,-10.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,26,,,0,,False,0,train,0
29,0.0,82.364991,82.615198,45.0,4.0,10.0,0.8,null,40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020688,4,,,0,,False,1,train,1
30,0.0,82.615198,82.865405,45.0,4.0,30.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020688,27,,,0,,False,0,train,1
31,0.0,82.865405,83.115612,0.0,4.0,-30.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020688,7,,,0,,False,1,train,0
32,0.0,83.115612,83.365819,90.0,4.0,30.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020688,10,,,0,,False,1,train,2
33,0.0,83.365819,83.616029,90.0,4.0,0.0,0.8,null,40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,28,,,0,,False,0,train,2
34,0.0,83.616029,83.86624,0.0,4.0,-10.0,0.8,null,40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,14,,,0,,False,1,train,0
35,0.0,83.86624,84.116451,90.0,4.0,20.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,29,,,0,,False,0,train,2
36,0.0,84.116451,84.366661,0.0,4.0,-20.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,30,,,0,,False,0,train,0
37,0.0,84.366661,84.616871,0.0,4.0,-30.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,31,,,0,,False,0,train,0
38,0.0,84.616871,84.86708,0.0,4.0,20.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,32,,,0,,False,0,train,0
39,0.0,84.86708,85.117289,90.0,4.0,-30.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,25,,,0,,False,1,train,2
40,0.0,85.117289,85.367499,45.0,4.0,-20.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,33,,,0,,False,0,train,1
41,0.0,85.367499,85.617707,90.0,4.0,-10.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,34,,,0,,False,0,train,2
42,0.0,85.617707,85.867915,90.0,4.0,30.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,35,,,0,,False,0,train,2
43,0.0,85.867915,86.118123,90.0,4.0,-40.0,0.8,null,-10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,36,,,0,,False,0,train,2
44,0.0,86.118123,86.368331,45.0,4.0,-10.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,37,,,0,,False,0,train,1
45,0.0,86.368331,86.618543,0.0,4.0,-30.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021188,38,,,0,,False,0,train,0
46,0.0,86.618543,86.868755,0.0,4.0,40.0,0.8,null,0.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021188,39,,,0,,False,0,train,0
47,0.0,86.868755,87.118967,90.0,4.0,-30.0,0.8,null,0.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021188,40,,,0,,False,0,train,2
48,0.0,87.118967,87.369179,45.0,4.0,10.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021188,41,,,0,,False,0,train,1
49,0.0,87.369179,87.619387,45.0,4.0,-10.0,0.8,null,-10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,42,,,0,,False,0,train,1
50,0.0,87.619387,87.869595,0.0,4.0,20.0,0.8,null,-10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,43,,,0,,False,0,train,0
51,0.0,87.869595,88.119803,45.0,4.0,-40.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,44,,,0,,False,0,train,1
52,0.0,88.119803,88.370011,45.0,4.0,-40.0,0.8,null,-20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,45,,,0,,False,0,train,1
53,0.0,88.370011,88.620218,45.0,4.0,-20.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020688,46,,,0,,False,0,train,1
54,0.0,88.620218,88.870425,90.0,4.0,10.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020688,47,,,0,,False,0,train,2
55,0.0,88.870425,89.120632,90.0,4.0,-20.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020688,21,,,0,,False,1,train,2
56,0.0,89.120632,89.370839,0.0,4.0,-40.0,0.8,null,0.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020688,48,,,0,,False,0,train,0
57,0.0,89.370839,89.621044,45.0,4.0,-40.0,0.8,null,-10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020562,49,,,0,,False,0,train,1
58,0.0,89.621044,89.87125,0.0,4.0,10.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020562,50,,,0,,False,0,train,0
59,0.0,89.87125,90.121456,0.0,4.0,-20.0,0.8,null,-20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020562,51,,,0,,False,0,train,0
60,0.0,90.121456,90.371661,0.0,4.0,0.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020562,52,,,0,,False,0,train,0
61,0.0,90.371661,90.621873,90.0,4.0,-20.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021188,53,,,0,,False,0,train,2
62,0.0,90.621873,90.872085,90.0,4.0,10.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021188,54,,,0,,False,0,train,2
63,0.0,90.872085,91.122297,0.0,4.0,30.0,0.8,null,40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021188,55,,,0,,False,0,train,0
64,0.0,91.122297,91.372509,45.0,4.0,-40.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021188,56,,,0,,False,0,train,1
65,0.0,91.372509,91.622719,90.0,4.0,40.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,57,,,0,,False,0,train,2
66,0.0,91.622719,91.87293,45.0,4.0,-40.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,44,,,0,,False,1,train,1
67,0.0,91.87293,92.123141,0.0,4.0,-20.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,58,,,0,,False,0,train,0
68,0.0,92.123141,92.373351,90.0,4.0,-40.0,0.8,null,-10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,36,,,0,,False,1,train,2
69,0.0,92.373351,92.623561,45.0,4.0,-10.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,59,,,0,,False,0,train,1
70,0.0,92.623561,92.87377,45.0,4.0,-40.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,44,,,0,,False,2,test,1
71,0.0,92.87377,93.123979,0.0,4.0,10.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,60,,,0,,False,0,train,0
72,0.0,93.123979,93.374189,45.0,4.0,-20.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,61,,,0,,False,0,train,1
73,0.0,93.374189,93.624397,90.0,4.0,0.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,20,,,0,,False,1,train,2
74,0.0,93.624397,93.874605,0.0,4.0,40.0,0.8,null,-20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,62,,,0,,False,0,train,0
75,0.0,93.874605,94.124813,90.0,4.0,20.0,0.8,null,0.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,63,,,0,,False,0,train,2
76,0.0,94.124813,94.375021,45.0,4.0,40.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,3,,,0,,False,2,test,1
77,0.0,94.375021,94.625223,0.0,4.0,30.0,0.8,null,0.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020188,64,,,0,,False,0,train,0
78,0.0,94.625223,94.875425,0.0,4.0,-30.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020188,31,,,0,,False,1,train,0
79,0.0,94.875425,95.125627,0.0,4.0,0.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020188,65,,,0,,False,0,train,0
80,0.0,95.125627,95.375829,0.0,4.0,40.0,0.8,null,40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020188,66,,,0,,False,0,train,0
81,0.0,95.375829,95.626042,0.0,4.0,-20.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021312,17,,,0,,False,1,train,0
82,0.0,95.626042,95.876255,90.0,4.0,10.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021312,67,,,0,,False,0,train,2
83,0.0,95.876255,96.126468,0.0,4.0,0.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021312,68,,,0,,False,0,train,0
84,0.0,96.126468,96.376681,90.0,4.0,-10.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021312,69,,,0,,False,0,train,2
85,0.0,96.376681,96.626891,0.0,4.0,10.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,70,,,0,,False,0,train,0
86,0.0,96.626891,96.8771,45.0,4.0,40.0,0.8,null,-20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,12,,,0,,False,1,train,1
87,0.0,96.8771,97.127309,90.0,4.0,0.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,71,,,0,,False,0,train,2
88,0.0,97.127309,97.377519,45.0,4.0,30.0,0.8,null,40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,72,,,0,,False,0,train,1
89,0.0,97.377519,97.627727,90.0,4.0,-20.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,73,,,0,,False,0,train,2
90,0.0,97.627727,97.877935,0.0,4.0,-30.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,74,,,0,,False,0,train,0
91,0.0,97.877935,98.128143,90.0,4.0,30.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,75,,,0,,False,0,train,2
92,0.0,98.128143,98.378351,90.0,4.0,-20.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,21,,,0,,False,2,test,2
93,0.0,98.378351,98.628571,0.0,4.0,-40.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021938,76,,,0,,False,0,train,0
94,0.0,98.628571,98.87879,45.0,4.0,20.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021938,77,,,0,,False,0,train,1
95,0.0,98.87879,99.129009,90.0,4.0,40.0,0.8,null,-20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021938,78,,,0,,False,0,train,2
96,0.0,99.129009,99.379229,0.0,4.0,40.0,0.8,null,0.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021938,39,,,0,,False,1,train,0
97,0.0,99.379229,99.629427,45.0,4.0,-40.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25019812,79,,,0,,False,0,train,1
98,0.0,99.629427,99.879625,0.0,4.0,20.0,0.8,null,-10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25019812,43,,,0,,False,1,train,0
99,0.0,99.879625,100.12982,0.0,4.0,20.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25019812,80,,,0,,False,0,train,0
100,0.0,100.12982,100.38002,45.0,4.0,10.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25019812,81,,,0,,False,0,train,1
101,0.0,100.38002,100.63023,90.0,4.0,-40.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,82,,,0,,False,0,train,2
102,0.0,100.63023,100.88044,45.0,4.0,40.0,0.8,null,-20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,12,,,0,,False,2,test,1
103,0.0,100.88044,101.13065,90.0,4.0,40.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,83,,,0,,False,0,train,2
104,0.0,101.13065,101.38086,90.0,4.0,20.0,0.8,null,0.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,63,,,0,,False,1,train,2
105,0.0,101.38086,101.63107,90.0,4.0,10.0,0.8,null,0.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,84,,,0,,False,0,train,2
106,0.0,101.63107,101.88128,0.0,4.0,0.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,85,,,0,,False,0,train,0
107,0.0,101.88128,102.13149,90.0,4.0,-10.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,69,,,0,,False,1,train,2
108,0.0,102.13149,102.3817,90.0,4.0,-10.0,0.8,null,40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,8,,,0,,False,1,train,2
109,0.0,102.3817,102.63191,45.0,4.0,-20.0,0.8,null,30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020688,61,,,0,,False,1,train,1
110,0.0,102.63191,102.88212,0.0,4.0,-10.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020688,16,,,0,,False,1,train,0
111,0.0,102.88212,103.13232,45.0,4.0,40.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020688,86,,,0,,False,0,train,1
112,0.0,103.13232,103.38253,90.0,4.0,0.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020688,87,,,0,,False,0,train,2
113,0.0,103.38253,103.63274,45.0,4.0,40.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,3,,,0,,False,3,train,1
114,0.0,103.63274,103.88295,90.0,4.0,10.0,0.8,null,40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,13,,,0,,False,1,train,2
115,0.0,103.88295,104.13316,0.0,4.0,20.0,0.8,null,0.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,88,,,0,,False,0,train,0
116,0.0,104.13316,104.38337,0.0,4.0,30.0,0.8,null,-10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25021062,89,,,0,,False,0,train,0
117,0.0,104.38337,104.63358,45.0,4.0,40.0,0.8,null,-20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,12,,,0,,False,3,train,1
118,0.0,104.63358,104.88379,45.0,4.0,-10.0,0.8,null,0.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,90,,,0,,False,0,train,1
119,0.0,104.88379,105.134,45.0,4.0,-20.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,91,,,0,,False,0,train,1
120,0.0,105.134,105.38421,90.0,4.0,30.0,0.8,null,-10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,92,,,0,,False,0,train,2
121,0.0,105.38421,105.63441,90.0,4.0,-30.0,0.8,null,-20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020562,93,,,0,,False,0,train,2
122,0.0,105.63441,105.88462,0.0,4.0,0.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020562,68,,,0,,False,1,train,0
123,0.0,105.88462,106.13483,45.0,4.0,-40.0,0.8,null,-40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020562,44,,,0,,False,3,train,1
124,0.0,106.13483,106.38503,90.0,4.0,10.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020562,54,,,0,,False,1,train,2
125,0.0,106.38503,106.63524,0.0,4.0,30.0,0.8,null,-30.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,94,,,0,,False,0,train,0
126,0.0,106.63524,106.88545,90.0,4.0,-10.0,0.8,null,10.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,95,,,0,,False,0,train,2
127,0.0,106.88545,107.13566,45.0,4.0,10.0,0.8,null,40.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,4,,,0,,False,2,test,1
128,0.0,107.13566,107.38587,0.0,4.0,-30.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020938,96,,,0,,False,0,train,0
129,0.0,107.38587,107.63608,0.0,4.0,-40.0,0.8,null,20.0,"[3644.93333333, 3644.93333333]",null,"[20.0, 20.0]",0.08,null,gabors,null,null,0.25020812,97,,,0,,False,0,train,0
